Tipo;Neighbours;Accuracy
FULL;1;0.918257077641127
FULL;3;0.9238646816339046
FULL;5;0.923748850202705
FULL;7;0.9235240009539059
FULL;9;0.9220999557115116
FULL;11;0.9206690968555173
FULL;13;0.9190951521139237
FULL;15;0.9175552754403298
FULL;17;0.9159063809491363
FULL;19;0.9141552822539434
FULL;21;0.91252001498995
FULL;23;0.9113208189963548
FULL;25;0.9099649098899601
FULL;27;0.9087793411235648
FULL;29;0.907757299083569
FULL;31;0.9063196266139747
FULL;33;0.905515620209178
FULL;35;0.9041392702619835
FULL;37;0.9031308554491875
FULL;39;0.9020066092051919
FULL;41;0.9009504990971962
FULL;43;0.9000306612611999
FULL;45;0.898770142745205
FULL;47;0.8980955949988076
FULL;49;0.8975505059108098
FULL;51;0.8968010084148128
FULL;53;0.8960719517596157
FULL;55;0.8950362824924198
FULL;57;0.8943140394508228
FULL;59;0.8938711545668245
FULL;61;0.8933396927060266
FULL;63;0.8928286716860286
FULL;65;0.8923380915068306
FULL;67;0.8915340851020339
FULL;69;0.8908390965148366
FULL;71;0.8900964126324397
FNORM;1;0.9176915477123292
FNORM;3;0.9238306135659047
FNORM;5;0.924014581133104
FNORM;7;0.9238306135659047
FNORM;9;0.92251558614111
FNORM;11;0.9208871324907164
FNORM;13;0.9194494600211222
FNORM;15;0.9181548734371274
FNORM;17;0.9165673014683338
FNORM;19;0.9153067829523388
FNORM;21;0.9139713146867441
FNORM;23;0.9124314380131503
FNORM;25;0.9111641058835553
FNORM;27;0.9099308418219603
FNORM;29;0.9088270364187647
FNORM;31;0.9076005859707696
FNORM;33;0.906987360746772
FNORM;35;0.9057949783667768
FNORM;37;0.9046094096003816
FNORM;39;0.9030422784723878
FNORM;41;0.9018907777739924
FNORM;43;0.901005008005996
FNORM;45;0.9001124246243996
FNORM;47;0.8992266548564031
FNORM;49;0.8983272578612067
FNORM;51;0.8975641331380098
FNORM;53;0.8964875821892141
FNORM;55;0.8958743569652166
FNORM;57;0.8950567233332197
FNORM;59;0.8946002112220216
FNORM;61;0.8939801723844241
FNORM;63;0.8933124382516268
FNORM;65;0.8928014172316288
FNORM;67;0.8920655469628317
FNORM;69;0.8915408987156338
FNORM;71;0.8908936054236364
RELATED;1;0.917010186352332
RELATED;3;0.923237829182707
RELATED;5;0.9237147821347051
RELATED;7;0.9228153851395088
RELATED;9;0.922018192348312
RELATED;11;0.9203352297891186
RELATED;13;0.9184410452083263
RELATED;15;0.9167580826491329
RELATED;17;0.9159063809491363
RELATED;19;0.9142779272987429
RELATED;21;0.9130855449187476
RELATED;23;0.9115388546315538
RELATED;25;0.9103941675467584
RELATED;27;0.9092290396211631
RELATED;29;0.9079003849691684
RELATED;31;0.9067216298163732
RELATED;33;0.9058563008891766
RELATED;35;0.9051408714611794
RELATED;37;0.9037781487411849
RELATED;39;0.902742479473989
RELATED;41;0.9017885735699929
RELATED;43;0.9007052090075972
RELATED;45;0.9000374748747999
RELATED;47;0.898490784587606
RELATED;49;0.8976595237284094
RELATED;51;0.8968282628692127
RELATED;53;0.8960310700780159
RELATED;55;0.8951248594692195
RELATED;57;0.8944775661772221
RELATED;59;0.8934623377508262
RELATED;61;0.8930739617756277
RELATED;63;0.8922358873028311
RELATED;65;0.8917384935100331
RELATED;67;0.8911116410588356
RELATED;69;0.8905120430620379
RELATED;71;0.8900350901100399
RNORM;1;0.91750758014513
RNORM;3;0.9229516574115082
RNORM;5;0.9241167853371035
RNORM;7;0.923006166320308
RNORM;9;0.9217729022587129
RNORM;11;0.9205191973563179
RNORM;13;0.9191769154771233
RNORM;15;0.9172282219875311
RNORM;17;0.9154021735427383
RNORM;19;0.9139099921643443
RNORM;21;0.9129560862603482
RNORM;23;0.911484345722754
RNORM;25;0.9108370524307566
RNORM;27;0.9092903621435628
RNORM;29;0.9081047933771675
RNORM;31;0.9073076005859708
RNORM;33;0.9066194256123735
RNORM;35;0.9055224338227779
RNORM;37;0.9037645215139849
RNORM;39;0.9028310564507886
RNORM;41;0.9017340646611931
RNORM;43;0.9010935849827957
RNORM;45;0.9002827649643989
RNORM;47;0.8990563145164038
RNORM;49;0.8981501039076074
RNORM;51;0.8972098252308112
RNORM;53;0.8963581235308146
RNORM;55;0.8958062208292168
RNORM;57;0.895254318127619
RNORM;59;0.8947092290396211
RNORM;61;0.8939733587708241
RNORM;63;0.8931761659796273
RNORM;65;0.8925493135284298
RNORM;67;0.8918747657820325
RNORM;69;0.8914182536708344
RNORM;71;0.890750519538037