Tipo;Estimators;Accuracy
FULL;10;0.9910679974162672
FULL;20;0.9967151434544073
FULL;50;0.9967171875468438
FULL;100;0.9966551834096007
FULL;150;0.996698109350769
FULL;200;0.9966545020454551
FULL;250;0.9966688106925112
FULL;300;0.9966538206813096
FULL;400;0.9966585902303283
FULL;500;0.9966579088661829
FULL;550;0.996689251616877
FULL;600;0.9966408747625446
FULL;650;0.9966640411434926
FULL;700;0.9966476884039999
FULL;750;0.9966538206813096
FULL;800;0.9966613156869104
FULL;850;0.9966613156869104
FULL;900;0.996653139317164
FULL;950;0.9966558647737462
FULL;1000;0.9966510952247275
FNORM;10;0.9938173017434746
FNORM;20;0.9967526184824113
FNORM;50;0.9966626784152015
FNORM;100;0.9966395120342535
FNORM;150;0.996721275731717
FNORM;200;0.9966681293283657
FNORM;250;0.9966994720790601
FNORM;300;0.9966694920566568
FNORM;400;0.9966572275020372
FNORM;500;0.9966803938829852
FNORM;550;0.9966708547849479
FNORM;600;0.9966912957093137
FNORM;650;0.9966558647737462
FNORM;700;0.9966708547849479
FNORM;750;0.9966476884039999
FNORM;800;0.9966299729362161
FNORM;850;0.9966367865776714
FNORM;900;0.9966694920566568
FNORM;950;0.9966626784152015
FNORM;1000;0.9966613156869104
RELATED;10;0.9908935681950118
RELATED;20;0.996544802418025
RELATED;50;0.9965686501631186
RELATED;100;0.9965127783031853
RELATED;150;0.9965373074124242
RELATED;200;0.9964821169166365
RELATED;250;0.9965400328690064
RELATED;300;0.9964793914600544
RELATED;400;0.9964814355524909
RELATED;500;0.9964807541883454
RELATED;550;0.996495744199547
RELATED;600;0.9964834796449276
RELATED;650;0.9964923373788195
RELATED;700;0.9964998323844202
RELATED;750;0.9964746219110356
RELATED;800;0.9964705337261626
RELATED;850;0.9964746219110356
RELATED;900;0.9964507741659421
RELATED;950;0.996472577818599
RELATED;1000;0.9964589505356884
RNORM;10;0.9934725314858371
RNORM;20;0.9965482092387528
RNORM;50;0.9965536601519169
RNORM;100;0.9964787100959088
RNORM;150;0.9964732591827445
RNORM;200;0.9965032392051478
RNORM;250;0.9964909746505284
RNORM;300;0.9964787100959088
RNORM;400;0.9964855237373641
RNORM;500;0.9964678082695804
RNORM;550;0.9964664455412893
RNORM;600;0.996507327390021
RNORM;650;0.9964528182583787
RNORM;700;0.9964528182583787
RNORM;750;0.9964678082695804
RNORM;800;0.9964650828129983
RNORM;850;0.9964650828129983
RNORM;900;0.996484161009073
RNORM;950;0.996458269171543
RNORM;1000;0.9964746219110356