Layers;Neurons;Accuracy
4;{25, 32, 42, 34};0.9339692706026641
4;{39, 34, 30, 36};0.9289544509930842
4;{37, 30, 27, 37};0.9343167648962627
4;{38, 41, 28, 33};0.926998943889892
4;{23, 38, 39, 23};0.9284706844274861
4;{31, 27, 28, 27};0.9217320205771131
4;{28, 32, 25, 35};0.9300718836234797
4;{39, 36, 29, 41};0.9293360133546826
4;{30, 40, 31, 25};0.9286069566994856
4;{33, 37, 26, 31};0.9292883180594829
4;{27, 42, 26, 29};0.9314209791162743
4;{42, 23, 33, 25};0.9251388273770994
4;{38, 41, 37, 25};0.929751643784281
4;{26, 28, 37, 26};0.9326133614962695
4;{36, 28, 26, 38};0.9276871188634892
4;{30, 40, 42, 27};0.92999012026028
4;{33, 34, 37, 25};0.9311620617994754
4;{28, 41, 37, 37};0.9335672674002657
4;{37, 29, 28, 30};0.928995332674684
4;{36, 26, 32, 41};0.920491942901918
4;{28, 32, 27, 42};0.9293700814226825
4;{39, 29, 25, 27};0.9278302047490887
4;{31, 32, 26, 39};0.9332197731066671
4;{35, 30, 33, 36};0.9347528361666609
4;{36, 28, 33, 35};0.9350867032330596
4;{31, 40, 42, 35};0.926774094641093
4;{37, 28, 34, 38};0.9284638708138861
4;{40, 42, 41, 31};0.9296630668074813
4;{36, 23, 31, 39};0.9301468333730795
4;{34, 35, 37, 26};0.9317071508874731
4;{37, 37, 37, 29};0.9248526556059006
4;{28, 33, 37, 23};0.9291316049466835
4;{25, 34, 41, 30};0.9293768950362825
4;{32, 31, 31, 35};0.9254795080570981
4;{25, 23, 31, 30};0.9254318127618982
4;{32, 27, 23, 31};0.9246005519027016
4;{25, 38, 35, 33};0.9291929274690832
4;{28, 25, 36, 28};0.928981705447484
4;{36, 25, 37, 38};0.9310802984362757
4;{31, 23, 36, 25};0.9218751064627125
4;{32, 34, 34, 25};0.9336967260586652
4;{27, 29, 29, 40};0.9296698804210813
4;{37, 34, 28, 40};0.925227404353899
4;{23, 25, 34, 23};0.9182775184819268
4;{32, 31, 34, 32};0.9311961298674752
4;{30, 34, 27, 28};0.9304057506898784
4;{41, 29, 26, 35};0.928245835178687
4;{31, 27, 41, 28};0.9220658876435117
4;{30, 38, 26, 31};0.9295608626034818
4;{39, 23, 37, 42};0.9318093550914728
4;{32, 25, 28, 39};0.9281095629066876
4;{31, 26, 35, 33};0.9226177903451095
4;{38, 31, 28, 30};0.9288045514938847
4;{37, 25, 32, 25};0.9185432494123258
4;{28, 32, 33, 27};0.9323544441794706
4;{35, 40, 36, 29};0.9350730760058598
4;{26, 34, 29, 26};0.92999012026028
4;{38, 25, 40, 35};0.9356931148434572
4;{31, 40, 33, 23};0.9318297959322727
4;{32, 37, 30, 30};0.9319320001362723
4;{30, 31, 25, 31};0.927993731475488
4;{23, 31, 37, 35};0.9308213811194768
4;{27, 39, 28, 27};0.9287977378802849
4;{33, 38, 25, 23};0.9333083500834668
4;{31, 40, 26, 33};0.9329812966306681
4;{34, 40, 30, 36};0.9252001498994992
4;{40, 41, 25, 38};0.9343712738050625
4;{33, 36, 42, 32};0.9352366027322591
4;{25, 26, 31, 28};0.92749633768269
4;{41, 39, 29, 41};0.9304807004394781
4;{25, 25, 40, 32};0.9292883180594829
4;{41, 35, 30, 40};0.9287977378802849
4;{32, 41, 31, 42};0.9290702824242837
4;{29, 41, 29, 40};0.9311756890266752
4;{25, 29, 30, 35};0.9303103600994788
4;{33, 23, 30, 26};0.9303648690082785
4;{33, 39, 42, 34};0.9291452321738835
4;{23, 38, 30, 42};0.9273464381834906
4;{32, 25, 26, 41};0.9244233979491023
4;{34, 26, 26, 25};0.9278370183626886