Type;Layers;Neurons;Accuracy
FNORM;1;7;0.9927775695840289
FNORM;2;7;0.9934589309440262
FNORM;3;7;0.758988859741764
FNORM;4;7;0.9931250638776274
FNORM;5;7;0.9910673525704358
FNORM;1;11;0.9947330766872211
FNORM;2;11;0.9950465029128198
FNORM;3;11;0.994753517528021
FNORM;4;11;0.9941948012128232
FNORM;5;11;0.9943106326440228
FNORM;1;14;0.9948352808912206
FNORM;2;14;0.8562804483357749
FNORM;3;14;0.9950260620720199
FNORM;4;14;0.9711579736313154
FNORM;5;14;0.8119578918679522
FNORM;1;21;0.994739890300821
FNORM;2;21;0.9946513133240213
FNORM;3;21;0.9928320784928286
FNORM;4;21;0.9941675467584233
FNORM;5;21;0.9947194494600211
FNORM;1;22;0.9901270738936395
FNORM;2;22;0.9954825741832181
FNORM;3;22;0.8716110789357135
FNORM;4;22;0.9951759615712193
FNORM;5;22;0.9900930058256396
FNORM;1;28;0.9925254658808299
FNORM;2;28;0.8334344019350662
FNORM;3;28;0.9951146390488196
FNORM;4;28;0.9920689537696318
FNORM;5;28;0.6710387353933158
FNORM;1;33;0.9869178618880523
FNORM;2;33;0.9901747691888393
FNORM;3;33;0.7623479712465506
FNORM;4;33;0.9947875855960209
FNORM;5;33;0.9952100296392191
FNORM;1;35;0.919251865226723
FNORM;2;35;0.9183047729363267
FNORM;3;35;0.9160767212891356
FNORM;4;35;0.9028651245187885
FNORM;5;35;0.9146322352059415
FNORM;1;42;0.9218614792355125
FNORM;2;42;0.8715974517085137
FNORM;3;42;0.9191428474091234
FNORM;4;42;0.9032058051987871
FNORM;5;42;0.8882703641876469
FNORM;1;44;0.8292099615030831
FNORM;2;44;0.8952747589684189
FNORM;3;44;0.919749259019521
FNORM;4;44;0.9204442476067182
FNORM;5;44;0.9179709058699281
FNORM;1;49;0.9093244302115627
FNORM;2;49;0.921738834190713
FNORM;3;49;0.9050318536435799
FNORM;4;49;0.8985861751780057
FNORM;5;49;0.9165536742411338
FNORM;1;55;0.8491193404422035
FNORM;2;55;0.9143051817531428
FNORM;3;55;0.8696691990597213
FNORM;4;55;0.8938098320444248
FNORM;5;55;0.9180799236875277
FNORM;1;56;0.8925901952100297
FNORM;2;56;0.9158859401083365
FNORM;3;56;0.9183865362995265
FNORM;4;56;0.9115661090859537
FNORM;5;56;0.9180390420059279
FNORM;1;63;0.9156270227915375
FNORM;2;63;0.9006166320307976
FNORM;3;63;0.9174053759411304
FNORM;4;63;0.9113412598371546
FNORM;5;63;0.9107689162947569
FNORM;1;66;0.8981160358396075
FNORM;2;66;0.844499710421422
FNORM;3;66;0.9087248322147651
FNORM;4;66;0.8635710148877457
FNORM;5;66;0.9198923449051204
FNORM;1;70;0.913024222396348
FNORM;2;70;0.9217933430995128
FNORM;3;70;0.9153749190883385
FNORM;4;70;0.917766497461929
FNORM;5;70;0.9158791264947365
FNORM;1;77;0.914012196368344
FNORM;2;77;0.9186658944571253
FNORM;3;77;0.9185296221851259
FNORM;4;77;0.9219977515075121
FNORM;5;77;0.9222294143699111
FNORM;1;84;0.910503185364358
FNORM;2;84;0.9090655128947638
FNORM;3;84;0.925499948897898
FNORM;4;84;0.9226314175723095
FNORM;5;84;0.9113753279051545
FNORM;1;88;0.7331448233570674
FNORM;2;88;0.24531053043981876
FNORM;3;88;0.5708990563145164
FNORM;4;88;0.7121793343099513