Model;CV;Precision;Tipo
RANDOM_FOREST;1;0.9965874958124429;ENTRENAMIENTO
RANDOM_FOREST;1;0.9936803733860253;VALIDACION
RANDOM_FOREST;1;0.9935406943072258;TEST
RANDOM_FOREST;2;0.9964020130557149;ENTRENAMIENTO
RANDOM_FOREST;2;0.9939018158280244;VALIDACION
RANDOM_FOREST;2;0.9930296732872279;TEST
RANDOM_FOREST;3;0.996682129871998;ENTRENAMIENTO
RANDOM_FOREST;3;0.9937825775900249;VALIDACION
RANDOM_FOREST;3;0.9934112356488264;TEST
RANDOM_FOREST;4;0.9965288226955187;ENTRENAMIENTO
RANDOM_FOREST;4;0.9939529179300242;VALIDACION
RANDOM_FOREST;4;0.9935134398528259;TEST
RANDOM_FOREST;5;0.9963660521130839;ENTRENAMIENTO
RANDOM_FOREST;5;0.9936292712840255;VALIDACION
RANDOM_FOREST;5;0.993254522536027;TEST
RANDOM_FOREST;6;0.9963660521130839;ENTRENAMIENTO
RANDOM_FOREST;6;0.9931012162300276;VALIDACION
RANDOM_FOREST;6;0.992981977992028;TEST
RANDOM_FOREST;7;0.9965023251588433;ENTRENAMIENTO
RANDOM_FOREST;7;0.9934759649780261;VALIDACION
RANDOM_FOREST;7;0.9933430995128266;TEST
RANDOM_FOREST;8;0.9963812004118466;ENTRENAMIENTO
RANDOM_FOREST;8;0.9937995060045993;VALIDACION
RANDOM_FOREST;8;0.9930978094232276;TEST
RANDOM_FOREST;9;0.9965212585549028;ENTRENAMIENTO
RANDOM_FOREST;9;0.9932033046588876;VALIDACION
RANDOM_FOREST;9;0.9934384901032263;TEST
RANDOM_FOREST;10;0.9962449276240083;ENTRENAMIENTO
RANDOM_FOREST;10;0.9927433779064816;VALIDACION
RANDOM_FOREST;10;0.9930296732872279;TEST
KNN;1;0.9737358414411694;ENTRENAMIENTO
KNN;1;0.9549790481381801;VALIDACION
KNN;1;0.9556706299185773;TEST
KNN;2;0.9722058164332515;ENTRENAMIENTO
KNN;2;0.9559159200081764;VALIDACION
KNN;2;0.9556229346233776;TEST
KNN;3;0.9726151393473724;ENTRENAMIENTO
KNN;3;0.9550812523421797;VALIDACION
KNN;3;0.955507103192178;TEST
KNN;4;0.9728740049230935;ENTRENAMIENTO
KNN;4;0.9552345586481791;VALIDACION
KNN;4;0.955766020508977;TEST
KNN;5;0.9712737216137676;ENTRENAMIENTO
KNN;5;0.9573467788641706;VALIDACION
KNN;5;0.956004496984976;TEST
KNN;6;0.9721692735905267;ENTRENAMIENTO
KNN;6;0.956495077164174;VALIDACION
KNN;6;0.9555684257145777;TEST
KNN;7;0.9726034982052308;ENTRENAMIENTO
KNN;7;0.9537696317241849;VALIDACION
KNN;7;0.9558477838721766;TEST
KNN;8;0.9729370920974062;ENTRENAMIENTO
KNN;8;0.9548760752917128;VALIDACION
KNN;8;0.9558273430313767;TEST
KNN;9;0.9724427290973292;ENTRENAMIENTO
KNN;9;0.9564091644663998;VALIDACION
KNN;9;0.9558750383265765;TEST
KNN;10;0.9737263313156115;ENTRENAMIENTO
KNN;10;0.9557618601481986;VALIDACION
KNN;10;0.9556978843729772;TEST
RRNN;1;0.937749715624651;ENTRENAMIENTO
RRNN;1;0.9366504275542534;VALIDACION
RRNN;1;0.9370353967226519;TEST
RRNN;2;0.9371327015563518;ENTRENAMIENTO
RRNN;2;0.9372125506762512;VALIDACION
RRNN;2;0.9353388069362586;TEST
RRNN;3;0.9308906389880969;ENTRENAMIENTO
RRNN;3;0.9297857118522809;VALIDACION
RRNN;3;0.9294041494906824;TEST
RRNN;4;0.9332602758393568;ENTRENAMIENTO
RRNN;4;0.9323578509862706;VALIDACION
RRNN;4;0.9318502367730725;TEST
RRNN;5;0.9389969925295873;ENTRENAMIENTO
RRNN;5;0.9389159540762443;VALIDACION
RRNN;5;0.9371103464722516;TEST
RRNN;6;0.9386146709289848;ENTRENAMIENTO
RRNN;6;0.9374680611862501;VALIDACION
RRNN;6;0.9364289851122543;TEST
RRNN;7;0.9387736561490373;ENTRENAMIENTO
RRNN;7;0.9383197628862467;VALIDACION
RRNN;7;0.9370694647906517;TEST
RRNN;8;0.9374167221852099;ENTRENAMIENTO
RRNN;8;0.9350140533174346;VALIDACION
RRNN;8;0.935761250979457;TEST
RRNN;9;0.9407951517170371;ENTRENAMIENTO
RRNN;9;0.9400732475939018;VALIDACION
RRNN;9;0.9390045310530439;TEST
RRNN;10;0.9405244988189692;ENTRENAMIENTO
RRNN;10;0.9401243505663913;VALIDACION
RRNN;10;0.9389500221442442;TEST
ENSEMBLE;1;0.9999205073899737;ENTRENAMIENTO
ENSEMBLE;1;0.9727966477021088;VALIDACION
ENSEMBLE;1;0.9920369297857119;TEST
ENSEMBLE;2;0.9999034732592538;ENTRENAMIENTO
ENSEMBLE;2;0.9726603754301093;VALIDACION
ENSEMBLE;2;0.9918529622185126;TEST
ENSEMBLE;3;0.9990271618677735;ENTRENAMIENTO
ENSEMBLE;3;0.9743637788301025;VALIDACION
ENSEMBLE;3;0.9942240997513031;TEST
ENSEMBLE;4;0.9998656196354317;ENTRENAMIENTO
ENSEMBLE;4;0.9726603754301093;VALIDACION
ENSEMBLE;4;0.9917030627193132;TEST
ENSEMBLE;5;0.9988038254872235;ENTRENAMIENTO
ENSEMBLE;5;0.9752325145640991;VALIDACION
ENSEMBLE;5;0.9948305113617006;TEST
ENSEMBLE;6;0.9983552600449322;ENTRENAMIENTO
ENSEMBLE;6;0.9711954485061152;VALIDACION
ENSEMBLE;6;0.9913419411985146;TEST
ENSEMBLE;7;0.9999015805780627;ENTRENAMIENTO
ENSEMBLE;7;0.9727285115661091;VALIDACION
ENSEMBLE;7;0.991730317173713;TEST
ENSEMBLE;8;0.9999186148628187;ENTRENAMIENTO
ENSEMBLE;8;0.9922681202623286;VALIDACION
ENSEMBLE;8;0.9913828228801145;TEST
ENSEMBLE;9;0.9998940100539034;ENTRENAMIENTO
ENSEMBLE;9;0.9906498594668257;VALIDACION
ENSEMBLE;9;0.9915259087657139;TEST
ENSEMBLE;10;0.9999337562836896;ENTRENAMIENTO
ENSEMBLE;10;0.973119836470488;VALIDACION
ENSEMBLE;10;0.99249344189691;TEST